Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate32Nsta10DataModeMCS2_8;10;4;1;536;32;MCS2_8;0;1;4435.4;3530.3;8516.4
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate32Nsta15DataModeMCS2_4;15;4;1;536;32;MCS2_4;0;1;5251.26666666667;2814.66666666667;5632.26666666667
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate32Nsta15DataModeMCS2_8;15;4;1;536;32;MCS2_8;0;1;5626.13333333333;3445.4;6661.93333333333
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate32Nsta5DataModeMCS2_4;5;4;1;536;32;MCS2_4;0;1;2825.6;2760.8;10205.8
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate32Nsta5DataModeMCS2_8;5;4;1;536;32;MCS2_8;0;1;3034.8;2969.8;10378
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate48Nsta10DataModeMCS2_4;10;4;1;536;48;MCS2_4;0;1;6779.6;2907.7;7085.4
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate48Nsta10DataModeMCS2_8;10;4;1;536;48;MCS2_8;0;1;6763.6;3522.6;8522
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate48Nsta15DataModeMCS2_4;15;4;1;536;48;MCS2_4;0.4;1;7671;2848.33333333333;5665.73333333333
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate48Nsta15DataModeMCS2_8;15;4;1;536;48;MCS2_8;0;1;8005.4;3450.46666666667;6667.2
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate48Nsta5DataModeMCS2_4;5;4;1;536;48;MCS2_4;0;1;4485;3562.4;12302.6
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate48Nsta5DataModeMCS2_8;5;4;1;536;48;MCS2_8;0;1;4476.2;4179.2;14744
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta10DataModeMCS2_8;10;4;1;536;4;MCS2_8;0;1;741.3;740.3;1933.8
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta15DataModeMCS2_4;15;4;1;536;4;MCS2_4;0;1;749.8;748.2;1943.93333333333
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta15DataModeMCS2_8;15;4;1;536;4;MCS2_8;0;1;775.133333333333;772.666666666667;1968.2
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_4;5;4;1;536;4;MCS2_4;0;1;677.4;676;1870.4
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate4Nsta5DataModeMCS2_8;5;4;1;536;4;MCS2_8;0;1;666.8;665.2;1860
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate64Nsta10DataModeMCS2_4;10;4;1;536;64;MCS2_4;0;1;9172.3;2911.4;7088.2
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate64Nsta10DataModeMCS2_8;10;4;1;536;64;MCS2_8;0;1;9152.6;3522.6;8522
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate64Nsta15DataModeMCS2_4;15;4;1;536;64;MCS2_4;0;1;10054.8;2843.33333333333;5663.06666666667
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate64Nsta15DataModeMCS2_8;15;4;1;536;64;MCS2_8;0;1;10405.2666666667;3461.06666666667;6678
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate64Nsta5DataModeMCS2_4;5;4;1;536;64;MCS2_4;0;1;6787.4;3548.6;12244.8
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate64Nsta5DataModeMCS2_8;5;4;1;536;64;MCS2_8;0;1;6183.6;4181.4;14643.8
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate8Nsta10DataModeMCS2_4;10;4;1;536;8;MCS2_4;0;1;1476.4;1440.3;3829.1
NGroup4NRawSlotNum1TCPSegmentSize536IpCameraDataRate8Nsta10DataModeMCS2_8;10;4;1;536;8;MCS2_8;0;1;1511.1;1477.6;3859.4
